	?股票代码	?股票简称	?申购代码	?发行总数（万股）	?网上发行（万股）	?申购上限（万股）	?发行价格	?发行市盈率	?行业市盈率	?申购日期	?冻结资金（亿元）	?询价累计报价倍数	?中签率（%）	?每中一签（万元）	?中签号	?上市日期	?打新收益（元）	?涨停数量	新股详情	收益率/%
1	2736	国信证券	2736	120000	60000	36	5.83	22.97	60.45	12-19周五	1946	41	1.8	16	24-Dec	29-Dec	9070	11	详细?公告	5.67
2	300412	迦南科技	300412	1340	1206	0.5	13.6	22.78	41.18	12-19周五	360	71	0.45	150	查看	31-Dec	12280	7	详细?公告	0.82
3	300411	金盾股份	300411	2000	1800	0.8	12.8	22.92	48.07	12-19周五	484	53	0.48	134	查看	31-Dec	9925	6	详细?公告	0.74
4	300410	正业科技	300410	1500	1350	0.6	10.79	22.96	52.61	12-19周五	353	84	0.41	131	查看	31-Dec	9745	7	详细?公告	0.74
5	2738	中矿资源	2738	3000	2700	1.2	7.57	22.98	42.78	12-19周五	515	60	0.4	96	查看	30-Dec	6840	7	详细?公告	0.71
6	603017	园区设计	732017	1500	1350	0.6	29.97	22.88	42.78	12-22周一	740	34	0.55	548	查看	31-Dec	27480	3	详细?公告	0.50
7	603636	南威软件	732636	2500	2250	1	14.95	22.96	74.41	12-22周一	849	77	0.4	377	查看	30-Dec	27020	7	详细?公告	0.72
8	603889	新澳股份	732889	2668	2401	1	17.95	21.63	33.42	12-23周二	1006	87	0.43	419	查看	31-Dec	16460	3	详细?公告	0.39
9	601021	春秋航空	780021	10000	9000	4	18.16	22.96	21.21	01-12周一	2505	52	0.65	278	查看	21-Jan	37910	8	详细?公告	1.36
10	603788	宁波高发	732788	3420	3078	1.3	10.28	19.4	18.13	01-12周一	1015	61	0.31	330	查看	20-Jan	24610	9	详细?公告	0.75
11	300418	昆仑万维	300418	7000	6300	2.8	20.3	22.99	120.89	01-13周二	1660	88	0.77	132	查看	21-Jan	32350	12	详细?公告	2.45
12	300413	快乐购	300413	7000	6300	2.1	9.06	22.89	30.17	01-13周二	726	99	0.79	58	查看	21-Jan	15960	12	详细?公告	2.75
13	603678	火炬电子	732678	4160	3744	1.6	10.38	15.04	51.63	01-14周三	619	76	0.63	165	查看	26-Jan	24900	9	详细?公告	1.51
14	300417	南华仪器	300417	1020	918	0.4	16.08	22.65	49.71	01-14周三	208	71	0.71	114	查看	23-Jan	21990	10	详细?公告	1.93
15	603611	诺力股份	732611	2000	1800	0.8	18.37	21.36	49.22	01-14周三	437	62	0.75	243	查看	28-Jan	32630	7	详细?公告	1.34
16	603601	再升科技	732601	1700	1530	0.6	7.9	22.34	24.27	01-14周三	274	102	0.44	179	查看	22-Jan	24490	12	详细?公告	1.37
17	300415	伊之密	300415	3000	2700	1.2	13.32	22.69	42.21	01-14周三	331	46	1.08	61	查看	23-Jan	13900	8	详细?公告	2.28
18	2734	利民股份	2734	2500	2250	1	10.69	22.98	36.7	01-14周三	336	46	0.71	75	查看	27-Jan	11150	8	详细?公告	1.49
19	2740	爱迪尔	2740	2500	2250	1	16.48	18.52	27.96	01-14周三	393	19	0.94	88	查看	22-Jan	12775	6	详细?公告	1.45
